Currency,Market ID,Deposit Address,Tag,Withdraw Network,Deposit Network,
SKL,SKLUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,*
IQ,IQUSDT,coinonekorea,1360745071,"EOS, ERC20",EOS,
QTUM,QTUMUSDT,QTKKTgtjKV8k9UfeMkrQYqVa1s6qzvbQPC,,QTUM,QTUM,
PROM,PROMUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
RPL,RPLUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
WBTC,WBTCUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"ERC20, KAVAEVM",ERC20,
GRT,GRTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"ARBITRUM, ERC20, MATIC",ERC20,
AGIX,AGIXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
CHZ,CHZUSDT,,,"BEP2, CHZ2, ERC20",,
ENA,ENAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
IOTX,IOTXUSDT,io1qesrxkfn0rftxhkysggk73zwjxruxvchyu7kfr,,"BEP20, IOTX, BEP2, ERC20",IOTX,
AMP,AMPUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
EDU,EDUUSDT,0x56a40ed91fF7a4035A9C7bDB763c22Cbbb091542,,BEP20,BEP20,
NTRN,NTRNUSDT,neutron1lw2l0saa0z9ldydqt49jp5j2e4u79vfdn23vde,1360745071,NTRN,NTRN,
DIA,DIAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
ICX,ICXUSDT,hx11d5af371d7238a4edb132effeb6e5acba1c922d,,ICX,ICX,
ARB,ARBUSDT,0x88375aF965379fEFd65a45778920b5eCA5382a6A,,"ARBITRUM, ERC20",ARBITRUM,*
FIS,FISUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
XEC,XECUSDT,ecash:qz2r4gds8lyjlrz0r2kkhwf3adhx9el6aucr4vdday,,"BEP20, XEC",XEC,
FRONT,FRONTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
SHIB,SHIBUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
BONK,BONKUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,"BEP20, SPL",SPL,
AXS,AXSUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, RON",ERC20,
SEI,SEIUSDT,sei1sytrwywg7fg4k2acevuz8m99azzqq23jyesmpa,1360745071,SEI,SEI,
CYBER,CYBERUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, OPTIMISM",ERC20,
AEVO,AEVOUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ZRX,ZRXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
FLUX,FLUXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
STRK,STRKUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"ERC20, STARKNET",ERC20,
FORTH,FORTHUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ALT,ALTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
CTSI,CTSIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
LINK,LINKUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
PAXG,PAXGUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
HBAR,HBARUSDT,0.0.3957934,1360745071,HBAR,HBAR,
MAV,MAVUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BASE, ERC20, ZKSYNCERA",ERC20,
APE,APEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
ENS,ENSUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
GMT,GMTUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,"BEP20, ERC20, MATIC, SPL",SPL,
MATIC,MATICUSDT,0x9948557dc74480D0E879Bb1B52539ab2De0F2034,,"BEP20, MATIC, BEP2, ERC20",MATIC,
ARPA,ARPAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
DYDX,DYDXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"DYDX, ERC20",ERC20,
1INCH,1INCHUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
OP,OPUSDT,0xA225BFc6E02042d2d97074759dBfCa37a5Aa3c9e,,OPTIMISM,OPTIMISM,
CRV,CRVUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
MANA,MANAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
TWT,TWTUSDT,0x56a40ed91fF7a4035A9C7bDB763c22Cbbb091542,,"BEP20, BEP2",BEP20,
NFP,NFPUSDT,,,BEP20,,
ARKM,ARKMUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
